Civilité,Prénom,Nom,Société,Site,Département,Service,fonction,Manager - prénom,Manager - nom,PC,Date de naissance,Téléphone fixe,Téléphone portable,Nomadisme - Télétravail
Mme,Valentina,Ferrari,Pharmgreen,Lyon,Communication,-,Directrice communication,Gilles,Faure,P0702,28/06/1988,0440987654,0666052403,non
Mme,Fanny,Garnier,Pharmgreen,Lyon,Direction Générale,-,Assistant de direction,Gilles,Faure,P0780,24/01/1973,0412345678,0612078045,non
Mme,Hélène,Rousseau,Pharmgreen,Lyon,Direction Générale,-,Assistant de direction,Gilles,Faure,P0459,05/04/1974,0432109876,0798576239,non
M.,Kévin,Muller,Pharmgreen,Lyon,Direction Générale,-,Assistant de direction,Émile,Legrand,P0517,21/01/1974,0445678901,0632826644,non
Mme,Laure,Henry,Pharmgreen,Lyon,Direction Générale,-,Assistant de direction,Émile,Legrand,P0535,17/04/1985,0412345678,0606523189,non
M.,Gilles,Faure,Pharmgreen,Lyon,Direction Générale,-,CEO,-,-,P0717,26/05/1970,0421098765,0702448459,non
M.,Émile,Legrand,Pharmgreen,Lyon,Direction Générale,-,Directeur adjoint,Gilles,Faure,P0029,01/08/1981,0440987654,0668784704,non
Mme,Juliette,Guerin,Pharmgreen,Lyon,Direction Générale,-,Secrétaire,Émile,Legrand,P0648,19/03/1988,0487654321,0676933767,non
Mme,Mia,Heschklaesh,Pharmgreen,Lyon,Direction Générale,-,Secrétaire,Gilles,Faure,P0333,24/06/1992,0456789012,0656297307,non
M.,Lionel,Marchand,Pharmgreen,Lyon,RH,-,Directeur RH,Gilles,Faure,P0328,08/11/1989,0445678901,0689914715,non
Mme,Kelly,Arnaud,Pharmgreen,Lyon,RH,-,Directeur-Adjoint RH,Lionel,Marchand,P0105,26/11/1988,0476543210,0770673819,non
Mme,Tina,Le Hecourt,Pharmgreen,Lyon,Systèmes d'Information,-,Directrice informatique,Gilles,Faure,P0343,19/06/1986,0476543210,0699164527,non
M.,Antoine,Lambert,Pharmgreen,Lyon,Ventes et Développement Commercial,ADV,Gestionnaire ADV,Louis,Laurent,P0734,17/03/1990,0487654321,0602772816,non
Mme,Camille,Fournier,Pharmgreen,Lyon,Ventes et Développement Commercial,ADV,Gestionnaire ADV,Louis,Laurent,P0122,20/09/1970,0456789012,0705492767,non
Mme,Élise,François-D'Assise,Pharmgreen,Lyon,Ventes et Développement Commercial,ADV,Gestionnaire ADV,Louis,Laurent,P0428,03/03/1995,0487654321,0701519889,non
Mme,Julie,Garcia,Pharmgreen,Lyon,Ventes et Développement Commercial,ADV,Gestionnaire ADV,Louis,Laurent,P0705,24/06/1976,0412345678,0686992516,non
Mme,Juliette-Claire,Dubonnet,Pharmgreen,Lyon,Ventes et Développement Commercial,ADV,Gestionnaire ADV,Louis,Laurent,P0777,11/03/1983,0445678901,0768119524,non
M.,Nicolas,Bertrand,Pharmgreen,Lyon,Ventes et Développement Commercial,ADV,Gestionnaire ADV,Louis,Laurent,P0180,30/05/1991,0476543210,0785401077,non
M.,Thomas,Girard,Pharmgreen,Lyon,Ventes et Développement Commercial,ADV,Gestionnaire ADV,Louis,Laurent,P0456,10/04/1977,0412345678,0718755210,non
M.,Louis,Laurent,Pharmgreen,Lyon,Ventes et Développement Commercial,ADV,Responsable ADV,Sarah,Durand,P0572,05/08/1976,0423456789,0668251481,non
Mme,Alice,Martin,Pharmgreen,Lyon,Ventes et Développement Commercial,B2B,Commercial,Elena,Robert,P0086,04/05/1989,0456789012,0792624936,oui
Mme,Andréa,Marton,Pharmgreen,Lyon,Ventes et Développement Commercial,B2B,Commercial,Elena,Robert,P0182,22/12/1995,0445678901,0685410356,oui
Mme,Clara,Dubois,Pharmgreen,Lyon,Ventes et Développement Commercial,B2B,Commercial,Elena,Robert,P0053,30/03/1991,0476543210,0611551242,oui
M.,David,Thomas,Pharmgreen,Lyon,Ventes et Développement Commercial,B2B,Commercial,Elena,Robert,P0606,30/12/1989,0467890123,0611737329,oui
M.,Èsteban,Lomez,Pharmgreen,Lyon,Ventes et Développement Commercial,B2B,Commercial,Elena,Robert,P0369,30/08/1976,0423456789,0778840637,oui
M.,Jeremy,Lorrain,Pharmgreen,Lyon,Ventes et Développement Commercial,B2B,Commercial,Elena,Robert,P0186,05/04/1979,0412345678,0788960245,oui
Mme,Jessy,Lair,Pharmgreen,Lyon,Ventes et Développement Commercial,B2B,Commercial,Elena,Robert,P0077,16/04/1971,0440987654,0633376803,oui
Mme,Laura,David,Pharmgreen,Lyon,Ventes et Développement Commercial,B2B,Commercial,Elena,Robert,P0707,22/03/1971,0440987654,0791275326,oui
Mme,Léa,Michel,Pharmgreen,Lyon,Ventes et Développement Commercial,B2B,Commercial,Elena,Robert,P0390,28/08/1979,0434567890,0612044334,oui
M.,Libou,Khamin,Pharmgreen,Lyon,Ventes et Développement Commercial,B2B,Commercial,Elena,Robert,P0099,16/08/1989,0432109876,0698556201,oui
M.,Théophile,Laurent-Laffitte,Pharmgreen,Lyon,Ventes et Développement Commercial,B2B,Commercial,Elena,Robert,P0528,28/05/1988,0421098765,0754982135,oui
Mme,Elena,Robert,Pharmgreen,Lyon,Ventes et Développement Commercial,B2B,Responsable B2B,Sarah,Durand,P0188,06/01/1990,0487654321,0635656037,oui
M.,Fabien,Richard,Pharmgreen,Lyon,Ventes et Développement Commercial,B2C,Commercial,Karine,Simon,P0241,25/01/1994,0412345678,0625993239,oui
Mme,Gabrielle,Le Petit,Pharmgreen,Lyon,Ventes et Développement Commercial,B2C,Commercial,Karine,Simon,P0659,08/06/1984,0476543210,0752201129,oui
M.,Hugo,Durand,Pharmgreen,Lyon,Ventes et Développement Commercial,B2C,Commercial,Karine,Simon,P0524,13/01/1974,0445678901,0676900215,oui
Mme,Isabelle,Le Roy,Pharmgreen,Lyon,Ventes et Développement Commercial,B2C,Commercial,Karine,Simon,P0408,11/07/1982,0412345678,0635913014,oui
M.,Jérôme,Morotti,Pharmgreen,Lyon,Ventes et Développement Commercial,B2C,Commercial,Karine,Simon,P0775,15/02/1981,0445678901,0743570154,oui
Mme,Karine,Simon,Pharmgreen,Lyon,Ventes et Développement Commercial,B2C,Responsable B2C,Sarah,Durand,P0031,09/08/1998,0421098765,0615375578,oui
Mme,Nathalie,Nicolas,Pharmgreen,Lyon,Service Juridique,Contentieux,Juriste,Sophie,Clement,P0654,14/07/1974,0421098765,-,non
M.,Oscar,Perrin,Pharmgreen,Lyon,Service Juridique,Contentieux,Juriste,Sophie,Clement,P0588,04/08/1998,0487654321,-,non
Mme,Patricia,Morin,Pharmgreen,Lyon,Service Juridique,Contentieux,Juriste,Sophie,Clement,P0557,07/09/1981,0412345678,-,non
M.,Romain,Mathieu,Pharmgreen,Lyon,Service Juridique,Contentieux,Juriste,Sophie,Clement,P0618,18/04/1982,0445678901,-,non
M.,Thomas-Ambroise,Gauthier,Pharmgreen,Lyon,Service Juridique,Contrats,Juriste,Sophie,Clement,P0491,15/02/1994,0434567890,-,non
M.,Ugo,Dumont,Pharmgreen,Lyon,Service Juridique,Contrats,Juriste,Sophie,Clement,P0368,22/05/1976,0423456789,-,non
Mme,Véronique,Lopez,Pharmgreen,Lyon,Service Juridique,Contrats,Juriste,Sophie,Clement,P0175,28/02/1974,0434567890,-,non
Mme,Sophie,Clement,Pharmgreen,Lyon,Service Juridique,Contrats,Responsable Juridique,Gilles,Faure,P0198,15/06/1998,0476543210,0773550482,non
Mme,Anaïs,Fontaine,Pharmgreen,Lyon,Direction Financière,Contrôle de Gestion,Contrôleur de gestion,Aurélie,Petit,P0482,02/01/1996,0445678901,-,non
Mme,Eva,Reyer,Pharmgreen,Lyon,Direction Financière,Contrôle de Gestion,Contrôleur de gestion,Aurélie,Petit,P0117,03/04/1990,0434567890,-,non
Mme,Louisa,Dupont,Pharmgreen,Lyon,Direction Financière,Contrôle de Gestion,Contrôleur de gestion,Aurélie,Petit,P0215,10/09/1989,0423456789,-,non
